Time Period,Berkshire,Buckinghamshire,Cheshire,Derbyshire,East Sussex,Hampshire,Leicester,Northamptonshire,Nottinghamshire,Oxfordshire,Warwickshire
Jan-96,0,0,0,1,3,0,1,1,0,0,1
Feb-96,0,1,0,0,0,0,1,0,0,1,1
Mar-96,0,0,0,1,1,0,3,0,0,0,2
Apr-96,0,0,0,2,1,0,2,0,0,0,0
May-96,0,1,2,0,0,1,0,0,0,0,0
Jun-96,0,0,0,0,0,0,0,0,0,0,0
Jul-96,0,0,1,0,0,0,0,0,0,0,0
Aug-96,0,0,0,1,1,0,0,0,0,0,0
Sep-96,0,0,1,0,0,0,0,1,0,0,0
Oct-96,0,0,0,1,0,0,0,0,0,0,0
Nov-96,0,0,1,1,0,0,1,0,0,0,0
Dec-96,0,0,0,1,0,0,1,0,0,1,0
Jan-97,0,0,0,1,0,0,0,0,0,1,0
Feb-97,0,0,0,0,5,0,0,0,1,0,0
Mar-97,0,0,0,1,0,0,1,0,0,0,0
Apr-97,0,0,1,2,1,0,1,0,0,2,0
May-97,0,0,2,2,1,0,0,0,1,0,0
Jun-97,0,0,2,2,2,0,0,0,0,0,0
Jul-97,0,0,0,0,2,0,1,0,1,1,0
Aug-97,0,0,1,0,0,0,0,0,0,0,0
Sep-97,0,0,2,0,0,0,0,0,0,0,0
Oct-97,0,0,1,0,0,1,0,0,0,1,0
Nov-97,0,0,1,2,0,1,0,0,0,0,0
Dec-97,0,0,0,2,0,0,0,0,0,0,0
Jan-98,0,1,1,1,0,0,0,0,0,0,2
Feb-98,0,0,1,5,0,0,1,0,0,2,0
Mar-98,0,1,3,2,1,0,1,0,1,1,0
Apr-98,0,1,2,1,1,2,0,0,1,2,0
May-98,1,0,0,1,0,0,0,0,0,0,0
Jun-98,0,1,1,1,0,0,0,0,0,0,0
Jul-98,0,0,1,1,0,1,0,1,0,1,0
Aug-98,0,0,2,0,0,0,0,0,0,0,0
Sep-98,0,0,0,1,0,0,0,0,1,0,0
Oct-98,0,1,0,1,0,0,0,1,0,1,0
Nov-98,0,0,0,2,0,0,0,0,1,2,0
Dec-98,0,0,0,2,1,0,0,0,0,0,0
Jan-99,0,0,0,5,0,0,0,0,1,1,1
Feb-99,0,1,1,7,2,0,0,1,0,0,1
Mar-99,0,2,0,10,1,0,1,0,0,2,0
Apr-99,0,0,0,4,0,0,1,1,0,0,0
May-99,0,1,0,4,0,0,0,0,0,0,0
Jun-99,0,0,2,4,0,0,1,0,0,1,2
Jul-99,0,0,0,2,0,0,0,0,0,0,0
Aug-99,0,0,0,1,2,0,0,0,0,0,1
Sep-99,0,0,1,2,0,1,0,0,0,0,0
Oct-99,0,0,1,2,0,0,0,0,0,0,0
Nov-99,1,0,0,7,1,0,0,0,0,1,1
Dec-99,1,0,0,1,2,0,0,0,0,0,0
Jan-00,0,0,0,7,0,0,1,0,0,1,1
Feb-00,0,1,0,2,0,0,0,0,1,0,0
Mar-00,0,1,0,4,1,0,0,0,0,0,1
Apr-00,0,0,0,3,0,0,0,1,0,0,0
May-00,0,2,1,1,1,1,0,0,0,0,0
Jun-00,0,0,1,1,0,1,0,0,0,0,1
Jul-00,0,0,1,0,2,1,1,0,1,1,0
Aug-00,0,1,0,2,0,0,0,1,1,0,0
Sep-00,0,0,0,0,0,0,0,1,0,0,0
Oct-00,0,0,1,1,1,1,0,2,1,0,1
Nov-00,0,0,0,0,0,0,0,0,0,1,0
Dec-00,0,0,0,2,1,0,1,0,1,0,0
Jan-01,0,1,0,5,0,0,0,0,0,0,0
Feb-01,0,0,0,1,1,0,0,0,0,0,0
Mar-01,0,0,0,2,0,0,0,0,0,0,1
Apr-01,1,0,0,1,1,0,0,0,0,1,0
May-01,0,0,0,3,0,0,1,1,0,0,0
Jun-01,0,0,0,1,0,0,0,0,0,0,0
Jul-01,0,0,0,0,0,0,0,0,1,0,0
Aug-01,0,0,0,0,0,1,0,0,0,0,0
Sep-01,0,0,0,0,0,0,0,0,0,0,0
Oct-01,0,0,0,1,0,0,0,0,0,0,0
Nov-01,0,0,0,1,1,1,1,0,0,0,0
Dec-01,0,0,0,1,0,0,0,1,0,0,0
Jan-02,0,0,0,6,2,0,1,1,0,0,1
Feb-02,0,0,0,5,2,0,0,0,0,0,0
Mar-02,0,0,1,2,3,0,1,0,0,0,1
Apr-02,0,2,1,10,1,1,2,0,1,0,1
May-02,0,0,4,7,1,2,0,4,0,0,2
Jun-02,0,0,2,6,1,1,1,0,0,0,4
Jul-02,0,1,3,2,0,0,1,0,1,1,1
Aug-02,0,0,1,5,0,1,1,1,0,0,2
Sep-02,0,1,0,3,1,0,0,0,0,1,0
Oct-02,0,0,5,9,0,0,0,0,2,1,2
Nov-02,0,1,8,6,1,0,1,1,1,0,0
Dec-02,0,0,1,4,1,1,1,1,0,0,1
Jan-03,0,2,2,9,2,0,1,2,0,0,4
Feb-03,0,0,5,4,2,0,3,1,0,0,1
Mar-03,0,1,1,14,1,0,1,2,0,0,0
Apr-03,2,0,3,5,0,2,1,1,0,1,1
May-03,0,2,1,1,2,0,1,0,0,0,3
Jun-03,0,0,0,4,0,1,3,3,1,0,3
Jul-03,0,0,6,0,1,0,1,0,0,0,2
