Time Period,Avon,Cornwall,Devonshire,Dorset,Gloucestershire,Hereford & Worcester,Shropshire,Somerset,Staffordshire,West Midlands,Wiltshire
Jan-96,7,18,11,2,13,12,0,10,1,0,3
Feb-96,4,16,19,2,10,7,3,5,0,1,6
Mar-96,5,15,20,5,15,11,0,7,1,0,3
Apr-96,3,19,11,3,13,8,0,4,0,0,3
May-96,4,15,7,2,3,10,2,4,0,0,7
Jun-96,3,10,8,3,3,7,0,7,3,0,2
Jul-96,3,14,10,3,9,9,0,5,2,0,2
Aug-96,0,4,13,0,6,7,0,4,0,0,2
Sep-96,4,12,6,4,11,7,2,1,0,0,0
Oct-96,4,12,15,3,7,5,1,4,1,0,3
Nov-96,4,9,23,1,5,15,1,7,4,0,1
Dec-96,6,15,16,0,5,10,1,5,0,0,1
Jan-97,2,14,15,2,14,18,0,2,2,0,2
Feb-97,3,15,17,1,13,12,1,2,2,0,2
Mar-97,5,5,18,4,8,9,0,6,0,0,9
Apr-97,6,14,14,5,22,21,0,11,4,0,12
May-97,2,10,13,4,8,5,1,6,1,0,3
Jun-97,1,8,12,2,13,11,4,3,4,0,4
Jul-97,2,9,6,1,7,6,0,3,5,0,8
Aug-97,1,11,6,3,4,8,1,5,3,0,2
Sep-97,4,14,16,3,12,11,2,11,7,0,6
Oct-97,3,10,14,3,13,13,2,3,6,0,4
Nov-97,1,18,23,2,8,15,1,5,8,0,4
Dec-97,4,13,19,6,14,9,4,8,1,0,1
Jan-98,4,22,19,1,20,22,3,13,4,0,3
Feb-98,6,14,12,4,25,10,0,8,11,0,4
Mar-98,10,25,14,5,28,19,3,8,7,0,9
Apr-98,3,15,7,1,18,16,8,5,13,0,8
May-98,7,18,17,3,16,14,0,6,4,0,9
Jun-98,0,21,20,3,17,18,1,6,1,0,9
Jul-98,2,12,17,2,17,14,3,3,3,0,4
Aug-98,2,13,16,1,12,18,3,0,5,0,5
Sep-98,1,15,9,2,10,17,0,7,1,0,3
Oct-98,2,21,18,6,11,13,0,5,2,0,5
Nov-98,2,22,17,5,20,11,0,11,12,1,2
Dec-98,2,15,24,1,12,14,2,3,6,0,3
Jan-99,6,22,14,2,10,27,2,7,8,0,3
Feb-99,8,18,27,3,18,28,1,8,16,0,13
Mar-99,5,25,39,2,16,17,3,15,13,0,13
Apr-99,5,23,23,7,23,20,2,7,5,0,13
May-99,4,29,21,4,15,14,0,4,3,0,8
Jun-99,3,16,14,7,11,16,1,10,2,0,15
Jul-99,5,9,17,3,14,19,1,5,4,0,2
Aug-99,1,15,12,0,8,11,0,6,0,1,4
Sep-99,4,11,13,1,13,7,1,4,4,0,2
Oct-99,3,8,14,2,13,9,1,4,1,0,9
Nov-99,2,29,25,5,26,22,3,8,6,0,10
Dec-99,2,15,25,4,16,13,2,4,1,0,4
Jan-00,6,29,30,5,28,27,0,11,4,0,5
Feb-00,7,27,35,1,34,23,1,9,4,0,10
Mar-00,8,26,27,6,31,17,0,8,6,0,9
Apr-00,2,13,26,3,15,23,3,5,10,0,2
May-00,7,13,22,5,13,14,6,7,4,0,8
Jun-00,5,17,18,4,10,15,4,9,4,0,10
Jul-00,0,19,16,2,12,14,4,4,0,0,5
Aug-00,0,9,24,3,21,12,4,9,2,0,5
Sep-00,6,18,17,0,7,17,6,6,2,0,7
Oct-00,0,20,20,1,17,20,4,10,2,0,4
Nov-00,9,25,24,1,25,19,3,9,3,0,9
Dec-00,4,12,22,1,21,20,4,14,7,0,10
Jan-01,8,22,44,5,24,19,4,3,11,0,14
Feb-01,5,20,20,5,14,16,2,5,9,0,7
Mar-01,0,0,0,0,0,0,0,1,3,0,1
Apr-01,0,2,1,2,0,1,0,0,11,0,0
May-01,0,5,2,0,3,2,0,1,1,0,0
Jun-01,0,2,3,2,1,3,0,3,3,0,0
Jul-01,1,6,3,1,2,2,0,1,1,0,3
Aug-01,0,3,1,0,0,4,1,1,0,0,0
Sep-01,1,5,2,1,3,11,1,3,1,0,0
Oct-01,2,4,8,1,3,12,3,4,1,0,4
Nov-01,1,8,6,2,3,16,3,3,7,0,5
Dec-01,2,20,18,0,5,15,1,8,4,0,1
Jan-02,9,28,30,5,26,25,4,6,6,0,14
Feb-02,8,73,58,14,27,47,6,19,20,0,17
Mar-02,13,45,65,5,35,38,8,21,22,0,9
Apr-02,12,58,80,12,32,30,5,15,18,0,24
May-02,12,44,38,10,26,25,2,27,19,0,16
Jun-02,5,17,35,3,18,12,2,8,6,0,8
Jul-02,6,26,36,8,31,29,5,11,8,0,9
Aug-02,3,27,22,5,13,14,6,8,14,1,12
Sep-02,8,22,36,5,17,17,7,6,16,0,13
Oct-02,5,35,34,8,13,18,9,14,14,0,10
Nov-02,13,35,56,6,26,33,9,16,20,1,13
Dec-02,4,40,39,10,24,44,6,15,12,0,12
