Time Period,Anglesey,Carmarthenshire,Ceredigion,Clwyd,Gwent,Gwynedd,Mid Glamorgan,Mid Powys,North Powys,Pembrokeshire,South Glamorgan,South Powys,West Glamorgan
January 1996,2,2,1,0,12,1,0,4,0,2,0,2,0
February 1996,0,3,0,0,17,0,1,4,0,0,0,0,0
March 1996,0,3,0,0,14,1,0,0,0,10,0,0,2
April 1996,0,10,1,0,13,0,0,0,0,3,0,0,0
May 1996,0,5,0,0,6,0,0,0,0,3,0,0,0
June 1996,0,9,1,0,9,0,1,0,0,4,0,0,0
July 1996,1,1,0,0,6,1,0,1,1,4,0,1,0
August 1996,0,1,1,1,3,0,0,1,0,3,0,0,1
September 1996,1,2,0,0,7,0,0,1,0,0,0,0,0
October 1996,0,5,0,0,3,0,0,0,1,2,0,0,0
November 1996,0,3,0,0,1,0,0,0,0,5,0,2,1
December 1996,0,1,0,0,3,0,0,0,0,4,0,0,0
January 1997,0,5,0,0,14,0,0,0,0,3,0,0,2
February 1997,0,3,0,1,7,0,0,1,0,2,0,0,0
March 1997,0,5,1,0,4,0,0,1,0,4,0,1,1
April 1997,0,8,0,2,4,0,2,0,0,2,0,0,0
May 1997,0,8,0,0,8,0,0,1,0,1,0,0,0
June 1997,0,12,1,0,5,0,2,0,0,4,1,0,0
July 1997,0,2,0,0,7,0,0,0,0,3,0,0,0
August 1997,0,3,0,0,4,0,1,0,0,1,0,2,0
September 1997,0,1,0,0,7,0,0,0,0,1,0,0,0
October 1997,0,1,0,1,4,0,0,0,0,2,0,0,0
November 1997,0,2,1,2,5,0,0,0,0,3,0,0,0
December 1997,0,1,1,0,0,0,0,0,0,3,0,0,0
January 1998,0,7,2,0,4,0,0,0,1,6,0,1,0
February 1998,0,10,0,0,7,0,0,0,0,4,0,1,0
March 1998,0,8,1,0,8,1,1,0,2,5,1,0,0
April 1998,0,5,0,0,6,0,0,2,1,4,0,0,0
May 1998,0,8,0,1,2,1,0,1,0,3,0,0,0
June 1998,1,6,0,0,6,1,0,0,1,9,0,1,0
July 1998,0,6,2,0,5,0,0,0,1,2,1,1,3
August 1998,0,4,1,0,8,0,0,1,0,2,0,0,0
September 1998,0,7,3,0,4,0,0,0,0,4,1,0,1
October 1998,0,0,0,0,5,1,0,0,0,7,0,2,0
November 1998,0,8,0,1,1,0,1,0,2,3,0,0,1
December 1998,0,4,0,1,2,0,0,0,1,3,0,0,1
January 1999,0,4,2,1,5,0,0,1,1,7,0,0,1
